"","TaxaErro","Precisao","Cobertura","Fmeasure"
"1",0,1,1,1
"2",0,1,1,1
"3",0,1,1,1
"4",0.00729927007299269,0.985294117647059,1,0.992592592592593
"5",0,1,1,1
"6",0,1,1,1
"7",0.00729927007299269,0.987179487179487,1,0.993548387096774
"8",0,1,1,1
"9",0,1,1,1
"10",0,1,1,1
