"","TaxaErro","Precisao","Cobertura","Fmeasure"
"1",0.0144927536231884,0.985915492957746,0.985915492957746,0.985915492957746
"2",0.00724637681159424,1,0.984375,0.992125984251969
"3",0.0218978102189781,0.983606557377049,0.967741935483871,0.975609756097561
"4",0.00729927007299269,1,0.988235294117647,0.994082840236686
"5",0.0145985401459854,0.988505747126437,0.988505747126437,0.988505747126437
"6",0.00729927007299269,0.98876404494382,1,0.994350282485876
"7",0.00729927007299269,1,0.985507246376812,0.992700729927007
"8",0.0145985401459854,0.987012987012987,0.987012987012987,0.987012987012987
"9",0,1,1,1
"10",0,1,1,1
