"","Mean","Inf","Sup"
"TaxaErro",0.00145985401459854,-0.000741758795910661,0.00366146682510774
"Precisao",0.997247360482655,0.993083937664404,1.00141078330091
"Cobertura",1,NA,NA
"Fmeasure",0.998614097968937,0.996517808609337,1.00071038732854
